音樂人 ID,音樂數,粉絲人數,追蹤中人數,身分(音樂人/認證音樂人),居住地,type
sweetjohnband,20,33841,12,認證音樂人,臺北市,2
love78love87,31,365,27,認證音樂人,臺北市,2
ovdstw,33,920,37,認證音樂人,臺北市,2
theloophole2017,10,459,0,音樂人,臺北市,2
llccltheband,15,2920,0,認證音樂人,臺北市,2
SDNBand,13,36,5,音樂人,臺北市,2
owfband,4,67,4,音樂人,臺北市,2
detroitfatkids,23,228,37,認證音樂人,臺中市,2
cream_music,1,1,0,音樂人,臺中市,2
sshg,9,372,3,音樂人,臺北市,2
city_island,22,34,11,音樂人,臺東縣,2
dapunmusic,9,45,1,音樂人,臺北市,2
killerblood,288,1162,49,認證音樂人,新北市,2
qqqqqueen,5,1604,10,音樂人,臺北市,2
mandark,6,3427,25,認證音樂人,臺北市,2
natsuzip,11,78,48,音樂人,臺北市,2
Brary,6,23,0,音樂人,北京,2
bottleberries,13,190,4,認證音樂人,高雄市,2
HuiChuWang,18,2724,72,認證音樂人,臺北市,2
LeeLek,10,167,0,音樂人,新北市,2
UrAyN,3,53,1,音樂人,臺北市,2
tyntbandhk,11,73,6,音樂人,香港,2
Chill_Bros,9,519,3,音樂人,臺北市,2
TheGirlTheRobots,33,2420,18,音樂人,臺北市,2
Lilylu0917,1,11,6,音樂人,臺北市,2
madzine,121,541,36,音樂人,高雄市,2
som4ever,24,7592,19,音樂人,臺南市,2
Darkduckisme,1,15,34,音樂人,臺中市,2
heartboomboomclub,3,70,6,音樂人,北京,2
roctordoctor,1,28,12,音樂人,臺北市,2
nanakao0619,15,1207,16,認證音樂人,高雄市,2
lujiachi,4,51,5,音樂人,臺北市,2
yuhuan1028s,257,322,54,認證音樂人,臺北市,2
n7atsao,10,320,0,音樂人,臺北市,2
xicotsai,8,270,18,音樂人,臺北市,2
GoGoMachineOrchy,13,576,13,音樂人,高雄市,2
Rock4ever,7,557,0,音樂人,臺北市,2
wring_out_laura,40,182,28,認證音樂人,臺北市,2
koala_dada,5,10,39,音樂人,新北市,2
therealneilfletcher,12,309,1,音樂人,臺北市,2
zhcband,29,29858,0,音樂人,臺北市,2
accusefive,16,74320,16,認證音樂人,宜蘭縣,2
junglemico,64,261,1,音樂人,北京,2
dayu0609,3,38,20,音樂人,新竹市,2
peterpanh,32,233,0,音樂人,福建,2
sparkylee,29,167,12,音樂人,歐洲,2
seehan_chen,13,84,10,音樂人,臺北市,2
supertomicsound,24,32,8,音樂人,新北市,2
troychenGT,26,7,7,音樂人,臺北市,2
TransferStudent,11,347,22,認證音樂人,臺北市,2
FloodingBridge,15,5046,4,認證音樂人,高雄市,2
Dizparity,65,1179,9,音樂人,臺北市,2
g5sh,27,5016,1,認證音樂人,臺北市,2
ufa,22,363,0,認證音樂人,臺東縣,2
masonchiangmusic,38,279,34,認證音樂人,臺北市,2
gac900423,1,9,0,音樂人,高雄市,2
wetdreamdontcomeorgo,14,55,30,音樂人,臺北市,2
tuegofunpan,9,386,0,音樂人,新北市,2
insecteens,23,695,9,認證音樂人,臺北市,2
wearenuts20201118,5,360,3,音樂人,新北市,2
Nikar2020,4,11,3,音樂人,花蓮縣,2
bbe,1,24,0,音樂人,臺北市,2
Laitzai1027,2,12,0,音樂人,屏東縣,2
pilot,92,277,96,音樂人,臺北市,2
changriki,22,155,101,認證音樂人,新北市,2
kuroshio2019,9,1035,0,認證音樂人,臺北市,2
Jinboismyname,24,1048,4,認證音樂人,臺北市,2
AmberKuo_AK,4,674,2,音樂人,臺北市,2
7thofapril,2,75,6,音樂人,臺北市,2
yen1982,175,1283,69,認證音樂人,新北市,2
michaellee1995,7,28,8,音樂人,桃園市,2
TaborYang,1,3,6,音樂人,高雄市,2
solomomliu,17,598,1,音樂人,桃園市,2
wenyatsai2001,3,19,14,音樂人,新北市,2
mibsBMty330,5,361,42,音樂人,桃園市,2
chaomiumiu,5,275,1,音樂人,新北市,2
EastWaveBand,21,2682,0,認證音樂人,臺北市,2
lucaslumusic_21,23,658,6,認證音樂人,臺中市,2
Qzzy,4,402,6,認證音樂人,臺北市,2
Iron_Punch_band,16,4541,11,認證音樂人,臺南市,2
MLK1992,17,521,0,音樂人,美國,2
hanahsu,5,59,0,音樂人,None,2
nightkeepers2015,21,15240,10,認證音樂人,臺北市,2
nonconfinedspace,4,172,27,音樂人,臺北市,2
papun_band,19,8165,21,認證音樂人,臺北市,2
mu_nest,62,891,77,認證音樂人,馬來西亞,2
gaoxiaogao,2,52,3,音樂人,臺北市,2
DSPS,20,11812,6,認證音樂人,臺北市,2
s_p_i_c_e,2,416,1,音樂人,北京,2
dizkar,2,361,0,音樂人,雲南,2
L8ching,5,1706,0,認證音樂人,臺北市,2
MrLH_Band,22,47,17,音樂人,臺中市,2
hbdbilly,10,436,0,音樂人,新北市,2
actuallyn,76,221,57,認證音樂人,臺南市,2
WithinTheFlames,11,234,13,認證音樂人,嘉義市,2
stravinskywithglasses,2,151,8,音樂人,臺北市,2
elug0415,3,32,0,音樂人,花蓮縣,2
